Countries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Ecuador,9707,9609,9875,9464,9295,8809,8712,8368,8233,7845,7379,6863,6738,6815,6694,6655,6448,6346,6075,5821,5537,5529,5375,5256,5106,5058,4940,4738,4453,4516,4184,4048,4001,3627,3387,3217
Egypt,32864,32230,29877,28651,27692,26492,25177,23662,23689,23040,22486,21846,19980,18613,16316,,,,,,,,12512,11776,,,,10770,,,,,,,7808, 
El Salvador,,3795,3552,3559,3413,3456,3431,3455,3389,3399,3274,3225,3192,3110,2962,2734,2688,2745,2501,2053,,2097,2030,1868,1722,,,,,,1033,1003,1000,966,, 
Estonia,3811,3676,3649,3624,3550,3529,3543,3525,3533,3479,3463,3351,3426,3301,3365,3243,3407,3329,3284,3280,3272,3419,3324,3467,3152,3238,3099,2979,2947,2954,,,2773,2730,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,2,7
Fiji,,,646,674,,596,609,624,562,536,461,410,357,322,,,,,,,,,,,,,,,,,,,,,, 
Finland,11920,11898,11714,11583,11580,10996,10961,10848,10777,10593,10497,10426,10221,10326,10234,10188,10250,10155,10061,10042,9783,10075,9984,9626,9809,9757,9630,9543,,,,,,,, 
France,,152771,153978,152749,152841,153220,151572,149664,149100,148883,146470,147140,146420,144691,143646,143849,143183,142618,143704,142635,140734,142712,140981,139310,137948,138483,136905,135266,133008,131943,130933,128920,127180,126632,124347,123207
French Guiana,,121,142,119,120,120,131,108,93,118,118,99,110,107,,,,,,,,,,,,,,,,,,,,,,32
Georgia,5373,4666,4771,4334,2850,5039,,4511,4824,4430,5505,,,4236,4391,4301,4268,3691,3392,3351,3688,,4664,5371,5459,5382,5487,5386,5301,5106,,,4780,4660,, 
Germany,223758,223842,221611,221591,218899,216128,216010,211765,211523,211396,209328,209255,210043,207619,210738,210837,212748,210053,212888,212913,212391,213748,212549,210534,205148,,,,,,,,,,, 
Greece,,28844,28177,27341,27159,27328,27379,26862,25660,25884,25438,24789,24380,24402,23763,23419,22433,22591,22350,22020,21551,21000,20469,19945,19432,19214,18961,18599,18365,18180,17607,17547,17035,16621,16214,16346
Grenada,165,146,177,180,157,157,155,161,160,137,137,144,128,84,,,,,123,99,110,82,72,76,78,68,23,,,101,,,,,, 
Guadeloupe,,667,670,626,691,646,620,653,697,673,589,585,643,576,541,,,,,,,,,,,,,,,,,,,316,, 
Guatemala,7494,7432,7632,7146,7270,7176,6850,6771,6723,6329,6320,5978,5781,5314,5286,4984,4796,4466,3751,4163,4155,2991,2699,2609,2406,2371,2386,2124,2016,,2308,,,2004,1893,2006
Guyana,,,453,485,436,395,452,425,370,425,402,398,378,421,,331,333,350,341,321,256,348,296,304,343,353,278,,,,280,,,,,234
Haiti,,,,,,,,,,,100,292,326,319,,197,,207,,,,,,,,,,,,,,,,,222, 
Honduras,,449,470,444,388,408,352,,,,,,,,,,,,,,,,,,1061,466,879,796,,,,,,569,494,556
Hong Kong SAR,,13589,13336,13241,13076,12839,12456,12316,12093,12310,11791,11510,11658,11406,11222,10977,10691,10373,10134,9680,9390,9311,9021,8832,8669,8585,8177,8258,8052,7535,7347,7226,6810,6586,6430,6203
Hungary,32748,32748,33224,32670,32462,32536,32111,31686,31283,30615,33502,33530,33013,33319,33280,33821,33547,33458,33475,32941,32703,32201,32311,31407,30871,30446,29859,29832,29454,28478,28523,28417,28253,27889,27550,26945
Iceland,620,586,583,585,570,562,559,572,493,511,512,491,509,485,495,527,498,525,536,471,443,451,429,446,454,444,444,438,371,394,388,394,391,365,, 
Iraq,,,,,,,7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,8725,8571,8667,7971,8396,8199,7917,8066,7749,7828,7603,7503,7632,7666,7541,7480,7486,7389,7519,7412,7589,7539,7260,7115,7339,7154,6966,6886,6689,6666,6471,6332,6220,6287,6161
Israel,10931,10698,10640,10289,10380,9923,9983,9839,9625,9537,9280,9527,9351,9134,8878,8614,8868,8306,8396,8053,7685,7239,6562,6328,5852,5468,5495,5368,5328,5097,5145,5106,4745,4725,4859,4961
Italy,,,169180,167883,167253,166830,164847,163806,160945,,,159017,156866,157476,153431,151798,152468,150826,150380,147976,152588,150711,148628,147954,145036,142654,142674,139903,135375,133770,130600,130286,126086,123717,121835,119089
Jamaica,,,,3284,3124,3078,,,2758,2766,2773,2656,2387,2603,2748,,,,,,,,,1856,1891,2019,2070,2148,1989,2112,2073,1957,1657,1590,1395, 
Japan,368114,364877,360967,357312,353506,344105,342963,336468,329314,325941,320358,309543,304568,300658,295484,290556,283921,275413,271183,263022,243670,235707,231917,223727,217413,212625,205470,199563,191654,187714,182280,176206,170130,166399,161764,156661
Jordan,,,2651,2485,2343,2076,2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,16109,17038,17471,16956,17780,17797,18018,18073,18019,18430,18351,18741,18856,19047,19196,19348,20047,20573,21175,22093,22569,22984,22912,23050,22616,21880,21279,20753,20163,19485,,,17719,18004,, 
Kiribati,,,,,,,,,,,,,,16,14,17,20,10,14,16,7,14,20,9,,,,,,,,,,,, 
Kuwait,798,780,817,713,722,729,694,673,649,557,522,511,529,509,498,447,443,411,386,374,366,373,,,,,,477,528,509,492,514,535,412,432,427
Kyrgyzstan,3700,3437,3278,3325,3200,3223,3038,2957,3050,3040,3063,3055,2998,2878,2964,2927,2932,2861,2818,2826,2988,3031,3466,3393,3334,3195,3244,3149,3094,2998,,,2779,2592,, 
Latvia,5972,5956,6008,5882,6037,5948,5833,5913,6028,5825,5749,5733,5666,5732,5569,5692,5603,5453,5493,5476,5595,5465,5572,5576,5497,5572,5296,5339,5082,5047,4947,4798,4711,4525,4501, 
Lithuania,8028,7878,8002,8107,8110,8130,8266,8282,8148,8048,7959,7839,7870,7796,7723,7750,7586,7401,7517,7549,7468,7506,7307,7089,6959,6641,6509,6252,6119,6074,,,5661,5557,, 
Luxembourg,1095,1009,1065,1042,1020,1020,932,994,907,889,894,951,904,923,976,912,999,969,978,1019,945,1013,996,957,969,954,993,1026,938,996,955,972,1036,973,937,869
Macau,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,, 
Malaysia,,,,,,,8767,8325,7614,7182,7031,6633,6109,5820,5563,,,4360,,,,,,,,,,,,,,,,,, 
Maldives,,,,102,89,,79,56,,36,34,40,60,55,0,,,,,,,,,,,,,,,,,,,,, 
Malta,912,849,920,875,852,837,837,804,782,699,709,711,723,707,709,712,707,682,704,717,691,634,640,600,539,554,501,541,511,520,539,519,541,508,485,430
Martinique,,777,,712,748,719,708,641,652,618,631,651,591,596,581,,,,,,,,,,,,,,,425,,,327,310,, 
Mauritius,1139,1178,1063,980,993,1029,1015,908,875,852,915,884,821,862,717,729,721,638,644,633,691,601,656,566,602,553,564,543,531,515,499,458,496,513,, 
Mayotte,,66,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,75652,71911,71840,70041,68957,67089,66658,63764,63774,62976,61034,59858,58311,55867,54993,53660,52663,51251,49916,48218,46422,44939,43684,41953,41125,40555,39292,37330,35930,34844,31784,30566,29415,27957,26375,26076
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,112,,,,,,, 
Mongolia,,,,,,,,,,,,,,,,,,,,,2616,,,,,,,,,,,,,,, 
